conv_index	question_id	label
225	23694	367
226	30116	89
226	30670	89
226	8466	110
226	8203	224
226	13906	93
226	1939	137
227	761	319
227	37129	319
227	24203	305
227	39738	223
228	11507	72
228	40714	36
229	12713	155
229	38240	319
230	19221	72
230	36683	89
230	9917	259
230	22860	259
230	7056	125
230	2102	110
230	28843	183
230	11888	129
230	40629	237
230	66	23
230	32389	163
231	42915	198
231	43884	198
231	14655	272
231	22706	272
231	20774	21
232	34833	183
232	20141	340
233	30205	369
233	38736	319
234	17760	125
234	20581	263
235	22135	303
235	10863	296
236	15112	125
236	17529	237
236	39733	295
237	20852	63
237	6984	21
238	39604	222
238	32104	305
238	15491	101
239	16551	217
239	37006	263
239	19118	153
240	21226	268
240	1214	216
241	7816	272
241	18656	99
242	10749	72
242	346	303
243	16669	272
243	25927	272
244	31985	353
244	8657	222
245	4642	223
245	16649	73
245	28894	353
245	30426	319
246	43385	186
246	31372	63
246	15256	367
246	14280	259
246	26685	259
247	27132	72
247	27132	72
247	5429	105
247	9946	263
247	5214	217
247	41636	66
248	4210	72
248	14779	186
248	21485	91
249	3761	379
249	14128	68
249	20540	163
249	18837	159
250	35292	268
250	39350	202
251	33372	268
251	10146	280
252	31275	216
252	14337	73
252	22370	353
253	10605	319
253	23981	369
254	21636	335
254	2948	261
255	2183	93
255	24344	91
255	23882	206
255	18901	206
255	17522	155
256	2302	80
256	34325	304
256	34214	367
256	4811	304
256	3456	247
256	39383	72
256	18194	319
256	31640	247
256	33615	319
256	14877	47
256	41964	319
256	26971	319
256	31064	367
256	36419	304
256	8371	98
256	4275	98
257	9294	319
257	13680	155
257	35188	155
257	19244	155
258	1879	223
258	9198	305
258	33795	308
259	7037	319
259	42014	369
260	40085	268
260	10680	367
260	9072	80
260	12078	268
261	39394	353
261	29342	280
261	9399	165
262	6823	55
262	10881	268
263	32929	91
263	34428	272
263	40058	91
263	29867	369
263	43657	206
263	4795	93
264	6160	72
264	18653	263
264	36536	66
264	9715	155
264	6468	155
265	36320	80
265	3461	272
265	14658	99
266	1451	222
266	24756	73
266	17294	297
267	23813	161
267	15109	258
268	38496	319
268	12654	73
268	43527	319
268	41710	73
268	32226	319
269	669	319
269	24162	91
269	12183	93
269	11842	369
269	19945	206
270	39396	353
270	34905	41
271	32288	319
271	10998	36
272	7062	308
272	30522	149
272	14081	280
273	9598	61
273	1241	272
273	11451	99
273	42663	272
274	28144	36
274	14200	36
274	5236	36
275	17741	353
275	20120	269
276	19049	353
276	7721	268
276	34201	41
277	12964	150
277	8232	261
277	27609	92
277	22071	71
277	5265	335
277	6759	260
278	6136	280
278	3495	253
278	39911	89
278	28107	308
278	7451	89
278	43377	367
278	20621	223
279	12212	319
279	4327	155
280	7879	268
280	10181	268
280	36434	367
280	30534	297
281	29752	155
281	33846	72
281	38692	297
281	12142	155
281	28624	367
281	43082	89
282	4541	367
282	14593	224
282	33331	80
283	4238	268
283	20135	258
284	2544	119
284	6925	304
285	22086	319
285	6947	27
286	23261	72
286	23290	125
286	31365	110
287	4627	72
287	17419	223
287	36257	223
287	34592	223
288	10110	227
288	6780	91
288	15883	206
289	31791	72
289	4524	263
289	16255	155
290	18865	168
290	11555	168
291	26245	272
291	12652	36
292	2493	319
292	37721	319
292	8936	75
293	29213	21
293	6111	80
293	15836	155
294	7276	319
294	19291	36
294	41157	319
295	1732	36
295	21160	256
296	934	308
296	19345	319
296	22932	155
296	13782	155
296	6458	92
296	32317	319
297	38110	63
297	43379	21
297	15215	367
298	20808	222
298	30374	222
299	39756	223
299	25066	223
299	42190	193
299	3817	223
299	32501	84
300	40289	353
300	34267	222
301	6559	155
301	36423	155
301	8364	95
301	32571	155
301	19267	54
302	37400	369
302	12134	93
303	8044	50
303	12545	91
304	33993	217
304	18846	155
304	24017	149
304	32665	217
305	36597	206
305	26360	91
305	2321	93
306	32293	216
306	6815	216
307	40216	268
307	38709	355
307	36542	139
308	7619	73
308	33217	353
309	18208	375
309	12092	23
310	11912	367
310	9096	72
310	80	80
310	37642	319
311	17216	110
311	21629	261
311	16835	110
311	12903	224
312	43065	367
312	28947	367
312	17987	21
313	37752	308
313	25612	84
313	2082	168
314	12674	110
314	40961	149
314	26506	110
314	27009	110
314	42436	110
315	38099	222
315	19377	305
316	9003	110
316	1664	224
316	43413	80
316	2149	297
317	24634	149
317	6831	305
317	11155	223
318	28804	319
318	43951	21
318	2438	319
319	15568	72
319	11393	272
320	24624	149
320	10867	253
321	29804	72
321	16003	149
321	1781	369
321	31592	272
321	30037	93
321	13286	277
321	32851	93
321	40770	272
321	26991	91
321	12232	227
322	5103	258
322	37456	258
322	23081	280
322	22051	268
323	25829	367
323	43926	367
324	42392	297
324	24288	224
324	42815	319
324	1437	80
324	36403	155
325	40333	152
325	38583	261
326	32787	155
326	38594	350
326	11540	125
326	41493	350
327	25577	124
327	15210	184
327	30741	286
328	35973	217
328	5343	66
328	12461	238
328	31704	217
328	1811	126
329	27973	261
329	33618	92
330	43173	367
330	4574	80
331	38361	80
331	13469	224
332	23985	91
332	27178	369
332	2203	272
333	36695	193
333	36355	247
333	37029	245
333	41790	114
333	21011	232
334	10928	369
334	9005	369
334	4791	91
334	39690	227
335	2190	217
335	31786	238
335	36771	153
336	30898	36
336	43659	272
336	24307	62
337	28644	319
337	15096	319
337	14027	319
337	10093	340
337	19131	54
337	35972	236
337	20596	319
337	24489	356
337	31860	356
337	7074	319
338	11263	367
338	5344	272
339	27238	319
339	32863	21
339	10413	272
339	9731	155
340	14285	72
340	9858	125
340	8234	367
341	39143	216
341	23773	268
342	36008	194
342	8736	356
342	5413	160
342	12933	194
342	12565	12
342	74	12
342	41464	12
342	6315	171
342	20740	278
343	33840	41
343	24053	268
344	6263	272
344	27296	149
344	821	75
344	21549	319
345	4061	21
345	41971	94
346	35760	367
346	19754	367
346	6538	80
346	38621	211
346	12633	268
347	10986	363
347	9172	175
347	30152	308
348	35550	72
348	3652	75
348	9716	272
349	22722	353
349	39430	222
349	26136	268
349	25954	258
350	14249	319
350	41638	260
351	10992	216
351	9161	268
351	5322	233
352	29460	353
352	37043	149
352	1013	253
352	7214	222
353	38946	319
353	2372	248
353	36489	319
353	30976	319
354	16445	36
354	36731	41
354	10434	268
355	41428	194
355	42649	356
355	18532	219
355	1599	319
355	27195	194
355	28867	219
356	18632	294
356	23245	36
356	15224	367
356	22348	36
356	39167	61
356	12158	61
356	14412	99
357	15928	223
357	19258	223
357	41317	149
357	12867	223
358	32953	21
358	28071	125
358	20950	351
358	41123	42
358	40070	217
358	8412	349
358	31783	263
358	26953	329
358	20509	21
359	966	353
359	2126	41
359	29490	73
359	10569	139
360	548	367
360	9602	367
360	23684	367
360	17991	268
361	3056	57
361	33330	137
362	6631	222
362	30846	223
363	17138	319
363	3319	193
363	40903	54
363	36871	54
363	19907	155
364	2986	153
364	42152	66
364	24238	272
365	30067	263
365	42188	66
366	25176	280
366	25908	353
366	14529	268
367	14566	308
367	25915	168
368	36143	110
368	23864	125
368	24030	272
369	13530	261
369	21785	150
369	25931	92
370	18449	369
370	30354	91
370	25513	206
371	20367	168
371	19826	308
372	3089	223
372	23906	84
372	35832	308
372	35717	222
372	22676	223
373	13349	183
373	42333	268
373	38040	268
374	32011	268
374	14211	149
375	9509	222
375	133	223
376	12026	137
376	11478	171
376	19583	272
377	2913	72
377	28803	72
377	11286	367
378	36033	72
378	15067	216
378	27735	23
378	1119	237
378	10594	367
379	22151	297
379	39408	137
379	33402	319
379	2116	13
379	9816	319
380	39647	319
380	35690	319
380	12296	94
380	1848	93
381	6431	63
381	29789	186
382	33978	369
382	19437	91
383	461	149
383	27458	329
383	34464	263
383	3349	186
383	42450	153
383	33653	110
383	34409	304
383	40879	94
384	42442	216
384	7985	216
385	8281	223
385	31115	149
385	10976	223
385	29060	155
386	26705	319
386	4956	319
386	8865	223
386	802	84
387	42530	16
387	2592	26
388	11200	186
388	35960	66
388	41512	217
388	40195	238
388	9506	263
389	34183	233
389	5625	369
390	16595	261
390	31897	150
391	362	42
391	14254	361
391	19422	119
391	28464	42
392	15570	72
392	2187	308
392	24517	21
392	11920	89
393	14968	41
393	29828	66
393	3756	217
393	14206	263
393	22480	268
393	24896	263
393	37515	217
394	8503	152
394	7110	261
395	39534	343
395	11219	223
396	31875	369
396	43811	206
396	14664	227
397	20042	72
397	18960	93
397	7786	75
398	41725	72
398	14375	91
399	16561	211
399	39262	149
400	35569	72
400	28809	367
400	29729	80
401	27491	319
401	19393	128
402	9600	319
402	33094	110
402	41978	319
403	17763	223
403	20734	84
404	26515	72
404	28671	369
404	17850	91
405	43841	328
405	24525	308
406	37489	346
406	40256	261
406	40568	129
406	11766	71
407	21173	329
407	40664	130
408	34107	263
408	8653	186
408	14684	21
408	6301	329
408	25818	367
408	28018	63
409	28132	93
409	21730	91
410	11287	124
410	41699	71
410	1625	129
411	22821	319
411	30963	319
411	18133	155
411	25361	179
411	19895	340
411	9205	98
411	2388	54
411	24621	47
412	21746	72
412	7390	73
413	22645	268
413	32748	258
413	15931	70
414	2460	106
414	38504	73
414	43539	268
414	3955	41
414	7272	355
414	41616	139
414	12426	73
415	37408	66
415	23181	66
416	4286	367
416	26034	72
416	9431	21
417	6630	72
417	2355	36
417	37613	272
417	23914	36
418	9141	72
418	15030	91
419	13670	73
419	36227	125
419	10283	110
419	7631	21
420	31854	91
420	1901	369
420	22385	93
420	41402	224
421	26347	161
421	10799	161
422	29211	72
422	9848	319
422	30327	319
422	36397	319
422	581	268
423	28811	193
423	16493	268
423	28164	261
424	10801	183
424	1137	114
424	11818	79
424	26446	232
424	21598	97
424	31281	183
425	41929	367
425	34482	125
426	22378	261
426	19740	150
427	24204	21
427	24925	63
427	11824	319
427	5978	63
427	21776	319
427	8521	319
427	13164	238
427	10504	261
427	24825	92
427	39381	181
427	37072	21
428	7982	258
428	31727	268
428	24237	367
428	14528	155
429	2317	223
429	11168	84
430	30915	149
430	35825	272
430	23400	272
430	39000	75
431	2698	224
431	43340	80
431	438	89
431	16092	224
432	19319	223
432	19361	168
432	31133	253
432	19667	68
433	4404	171
433	41383	278
433	25263	171
434	41318	75
434	27304	272
435	8026	222
435	28975	305
436	39067	233
436	35784	216
437	9587	155
437	20430	153
437	31972	153
437	29577	272
437	32907	217
438	12866	36
438	27261	128
439	32923	319
439	18147	75
439	15546	319
440	21519	41
440	24792	73
441	41646	63
441	29718	21
441	4051	204
441	42898	63
442	8702	238
442	31038	217
443	3520	268
443	3959	72
443	32422	89
443	25444	351
443	18253	351
443	12606	125
443	18129	193
443	16290	329
443	41161	263
444	842	110
444	30436	224
445	12622	91
445	43236	369
446	15400	93
446	25353	206
446	22037	272
447	5223	73
447	38587	253
447	33460	41
448	30889	41
448	37039	268
449	10470	319
449	20114	55
449	33764	150
449	13578	184
450	36361	184
450	19103	184
450	1356	138
450	12002	286
450	342	268
450	5897	327
450	22652	353
450	1998	223
451	22432	110
451	30971	149
452	41441	46
452	23456	73
452	35227	14
453	7322	72
453	28430	128
454	25492	72
454	24149	21
454	31419	263
454	33306	105
454	38235	319
454	43726	21
454	34466	361
455	30084	50
455	40421	165
455	24644	233
456	26314	238
456	36246	217
456	1434	263
457	42942	319
457	40040	125
458	32313	165
458	34722	253
459	41225	149
459	6971	277
460	2226	129
460	31660	183
461	22112	319
461	42609	367
461	2139	304
462	36248	89
462	32190	89
463	43847	91
463	10117	80
463	41245	304
464	37057	216
464	13509	253
464	40199	163
465	33042	194
465	19687	369
466	11245	260
466	19349	124
466	2821	129
466	27330	357
466	40643	261
467	38693	223
467	1522	149
467	13963	84
467	31678	199
467	18456	281
467	40293	281
468	42598	72
468	4917	319
468	28306	216
468	36521	253
469	37196	98
469	34680	99
470	9034	125
470	35916	110
471	43966	319
471	19660	224
472	14388	72
472	34339	72
472	26403	261
473	33617	80
473	25064	155
474	11269	129
474	32618	41
474	18529	222
475	6596	124
475	39388	260
476	42312	319
476	35737	261
476	38991	319
476	16028	261
477	18238	80
477	32395	367
477	23606	224
478	17723	155
478	11740	91
478	35174	83
479	8859	165
479	12738	165
479	35910	224
479	1729	224
480	5686	72
480	26317	369
480	42660	277
480	7429	149
480	22503	82
480	2732	369
480	3510	206
480	6889	206
480	41333	91
481	1173	237
481	28403	374
481	9157	271
482	20900	72
482	29368	110
482	37870	137
483	13564	105
483	26484	217
484	42878	319
484	12587	319
484	11762	319
484	38135	367
485	21843	216
485	16447	280
485	4189	149
486	1779	22
486	32678	125
487	2761	237
487	24134	194
487	34768	278
487	32837	356
488	29199	153
488	4800	272
489	26309	124
489	10166	260
490	20336	175
490	11610	83
491	1165	208
491	9132	91
491	35807	206
491	41284	93
491	7766	206
492	32914	13
492	13091	21
492	5368	94
492	16348	260
492	38399	351
492	31148	238
492	28942	153
493	24785	340
493	35121	340
493	11205	340
493	1116	265
493	33979	340
493	37182	179
493	36111	308
493	2904	149
493	5278	73
493	3238	353
493	9052	340
493	4203	340
493	17744	340
493	19866	340
493	11634	340
494	32439	363
494	41666	363
494	31579	355
494	25391	135
494	10115	268
494	779	68
495	20896	217
495	36029	263
495	24582	153
496	437	72
496	27384	237
497	20556	319
497	36026	263
497	28802	263
497	30545	217
497	6533	153
497	13815	217
497	6767	105
497	34989	361
497	3691	42
498	32974	223
498	34850	328
499	43360	93
499	13220	369
500	14576	153
500	33881	272
500	26648	99
501	42215	168
501	16864	281
501	13113	27
501	38975	168
502	35219	319
502	8646	356
502	16863	93
502	23838	155
502	34218	319
503	5668	268
503	16167	216
503	23017	127
503	20936	127
504	28674	223
504	38957	223
504	16302	73
505	35870	72
505	13699	165
505	5763	165
506	34675	193
506	40965	224
507	39726	296
507	21395	167
507	14570	253
507	19714	244
507	1105	167
507	1865	303
508	32852	73
508	19171	308
509	34149	319
509	30972	129
509	5457	319
510	30348	92
510	38961	261
510	32353	14
511	43418	260
511	39574	124
511	28048	124
511	24640	129
511	18039	155
512	22899	216
512	42076	253
512	7228	253
512	10374	216
513	22279	150
513	36250	129
513	33033	124
513	43609	8
513	19906	150
513	32718	261
513	2859	92
513	35408	71
514	24813	260
514	39625	357
515	21764	99
515	34949	272
516	8789	369
516	1773	93
517	34753	183
517	30668	245
517	13353	114
517	33684	79
518	3347	72
518	21932	153
518	13408	66
519	18063	319
519	6978	75
520	30430	353
520	19602	41
521	9228	149
521	19127	149
521	7335	244
521	43739	167
522	33128	149
522	22171	223
522	34547	84
522	27438	22
522	5932	31
522	22895	289
523	14461	206
523	40237	91
523	30876	155
523	31205	155
523	24665	155
523	15625	155
524	16922	222
524	18748	305
524	28779	268
525	63	319
525	24220	268
526	14494	149
526	11737	149
527	31272	319
527	4952	221
527	17304	166
527	8063	73
527	12228	308
527	25310	353
527	27577	168
528	16269	353
528	9183	269
529	31576	72
529	23128	125
529	20762	21
529	15776	125
530	11758	89
530	42656	256
530	27818	89
531	38695	193
531	30149	247
531	33690	66
532	8699	223
532	33325	149
532	11570	328
533	39868	21
533	28427	329
533	20911	263
534	1530	216
534	40942	165
535	5349	21
535	20145	63
535	10167	153
535	32739	272
536	6516	155
536	20323	272
536	9687	91
537	17932	268
537	30334	258
537	6827	202
538	43837	72
538	12341	322
538	24039	149
539	6472	72
539	19300	184
539	39301	350
540	19222	223
540	21012	223
540	37857	223
541	25367	168
541	4085	184
541	25380	286
542	29084	319
542	14962	91
543	8022	272
543	36780	75
543	14693	129
544	38833	222
544	32708	305
545	15171	89
545	2929	110
545	25769	89
545	12762	93
545	20178	171
546	9491	367
546	19850	13
546	16777	13
546	6121	13
546	13594	367
547	28861	223
547	1438	281
548	32986	223
548	9606	149
548	2528	129
549	40775	353
549	3470	73
550	4185	72
550	21355	31
550	36953	357
551	4084	223
551	14918	168
551	3315	308
551	4561	208
552	11668	75
552	43181	272
553	25804	14
553	34761	72
554	21860	91
554	17488	91
554	918	369
555	18002	175
555	34738	11
555	30761	175
556	34164	119
556	25584	304
557	12354	99
557	25719	272
557	16560	155
558	13579	353
558	26857	41
558	13472	41
558	38888	73
559	33252	72
559	37943	223
559	31315	223
559	21770	84
559	13559	223
560	21783	216
560	18633	268
561	5108	72
561	24368	75
561	26533	75
562	41525	319
562	41527	319
562	28756	155
563	35953	73
